"locationid","time","ssp","pfl","dr","slr","migrlevel","migration_submergence_cummulative_2p0","landloss_submergence_cummulative_2p0","migration_submergence_cummulative_3p0","landloss_submergence_cummulative_3p0","migration_submergence_cummulative_4p0","landloss_submergence_cummulative_4p0","landloss_change3_2","landloss_change3_4","migration_change3_2","migration_change3_4"
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 4.5","RCP 8.5 hig","Migrationlevel   1.0",38831.01775,244562.6545,34263.1958,240637.255,31369.93955,238322.9,1.63125177770167,-0.961760887772764,13.3315700516179,-8.44421012823329
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 4.5","RCP 8.5 hig","Migrationlevel  10.0",45563.0707,259195.603,36760.3477,252223.201,33607.3205,248956.611,2.76437773065928,-1.2951187626867,23.9462452092095,-8.57725075326205
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 4.5","RCP 8.5 low","Migrationlevel   1.0",28962.65148,129112.8798,25464.09138,127172.9534,23256.7114,125983.5352,1.52542372268284,-0.935276069479094,13.7391907992752,-8.66859903642084
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 4.5","RCP 8.5 low","Migrationlevel  10.0",31690.49537,137092.99875,26239.90755,133931.1656,23112.3966,131788.2838,2.36078969061103,-1.59998741920902,20.7721304261989,-11.9189099429582
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 6.0","H++","Migrationlevel   1.0",56121.22235,393811.7015,49430.5874,384428.73725,46327.6684,380426.994,2.44075516235357,-1.04095840457359,13.535414612532,-6.27732576772898
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 6.0","H++","Migrationlevel  10.0",65480.3048,415028.365,55857.1072,405387.648,50062.26475,397657.506,2.37814769334067,-1.90685188316344,17.2282419953177,-10.3744048707198
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 6.0","RCP 2.6 hig","Migrationlevel   1.0",28697.955175,127189.9164,24597.890425,124509.57755,22449.446675,123156.5082,2.15271700598586,-1.08671909151458,16.6683592745535,-8.73426018605416
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 6.0","RCP 2.6 hig","Migrationlevel  10.0",30020.2778,135376.96445,22840.34145,128776.90825,20487.72067,127096.5158,5.12518609872745,-1.30488646826167,31.4353284328856,-10.3002872577459
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 6.0","RCP 2.6 low","Migrationlevel   1.0",23535.62692,63553.45955,21005.861255,62613.6177,18794.20401,61363.1749,1.50101828407848,-1.99707802540853,12.0431418368901,-10.5287625113374
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 6.0","RCP 2.6 low","Migrationlevel  10.0",24515.072085,68897.1054,18427.70986,64377.67,16462.00906,63500.04155,7.02019100722347,-1.36324978831945,33.0337425065146,-10.667092193951
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 6.0","RCP 8.5 hig","Migrationlevel   1.0",39177.1477,247658.994,34036.4124,242088.6195,31336.43775,237674.4915,2.30096503978784,-1.82335212994182,15.1036344241733,-7.93260646354138
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 6.0","RCP 8.5 hig","Migrationlevel  10.0",43987.9753,257760.9585,35987.37275,251518.532,32383.4528,247321.208,2.48189525056547,-1.66879313688106,22.231693893242,-10.0144013708253
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 6.0","RCP 8.5 low","Migrationlevel   1.0",30065.8439,130944.1095,26734.12015,129076.68555,23886.24345,126671.2827,1.44675542453144,-1.86354556576232,12.4624402497869,-10.652591834035
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 6.0","RCP 8.5 low","Migrationlevel  10.0",33238.572655,140331.09975,24790.47045,132875.19345,22339.83088,130884.3712,5.61121011861827,-1.49826479895145,34.0780229323966,-9.88540969782201
"GLOBAL_000",2100,"SSP3","Table protection levels","Discount rate 0.0","H++","Migrationlevel   1.0",73468.53945,397822.5415,63661.56845,389015.478,55016.7146,382972.884,2.26393652645358,-1.5533042620993,15.4048529415395,-13.57939186935
"GLOBAL_000",2100,"SSP3","Table protection levels","Discount rate 0.0","H++","Migrationlevel  10.0",83151.3039,419659.267,71594.1311,406380.7575,63040.6212,394951.0225,3.26750449053927,-2.81256796466304,16.1426259700776,-11.9472221655331
"GLOBAL_000",2100,"SSP3","Table protection levels","Discount rate 0.0","RCP 2.6 hig","Migrationlevel   1.0",36539.33385,127640.1537,31213.05485,125968.6465,26380.15593,123246.68935,1.32692320386247,-2.16082114528396,17.0642669408566,-15.48358192822
